
Active Connections

  Proto  Local Address          Foreign Address        State
  TCP    192.168.1.20:55699     192.168.56.138:80      SYN_SENT
  TCP    192.168.1.20:55700     192.168.56.139:80      SYN_SENT
  TCP    192.168.1.20:55701     192.168.56.140:80      SYN_SENT
  TCP    192.168.1.20:55702     192.168.56.141:80      SYN_SENT
  TCP    192.168.1.20:55703     192.168.56.142:80      SYN_SENT
  TCP    192.168.1.20:55704     192.168.56.143:80      SYN_SENT
  TCP    192.168.1.20:55705     192.168.56.144:80      SYN_SENT
  TCP    192.168.1.20:55706     192.168.56.145:80      SYN_SENT
  TCP    192.168.1.20:55707     192.168.56.146:80      SYN_SENT
  TCP    192.168.1.20:55708     192.168.56.147:80      SYN_SENT
  TCP    192.168.1.20:55709     192.168.56.148:80      SYN_SENT
  TCP    192.168.1.20:55710     192.168.56.149:80      SYN_SENT
  TCP    192.168.1.20:55711     192.168.56.150:80      SYN_SENT
  TCP    192.168.1.20:55712     192.168.56.151:80      SYN_SENT
  TCP    192.168.1.20:55713     192.168.56.152:80      SYN_SENT
  TCP    192.168.1.20:55714     192.168.56.153:80      SYN_SENT
  TCP    192.168.1.20:55715     192.168.56.154:80      SYN_SENT
  TCP    192.168.1.20:55716     192.168.56.155:80      SYN_SENT
  TCP    192.168.1.20:55717     192.168.56.156:80      SYN_SENT
  TCP    192.168.1.20:55718     192.168.56.157:80      SYN_SENT
  TCP    192.168.1.20:55719     192.168.56.158:80      SYN_SENT
  TCP    192.168.1.20:55720     192.168.56.159:80      SYN_SENT
  TCP    192.168.1.20:55721     192.168.56.160:80      SYN_SENT
  TCP    192.168.1.20:55722     192.168.56.161:80      SYN_SENT
  TCP    192.168.1.20:55723     192.168.56.162:80      SYN_SENT
  TCP    192.168.1.20:55724     192.168.56.163:80      SYN_SENT
  TCP    192.168.1.20:55725     192.168.56.164:80      SYN_SENT
  TCP    192.168.1.20:55726     192.168.56.165:80      SYN_SENT
  TCP    192.168.1.20:55727     192.168.56.166:80      SYN_SENT
  TCP    192.168.1.20:55728     192.168.56.167:80      SYN_SENT
  TCP    192.168.1.20:55729     192.168.56.168:80      SYN_SENT
  TCP    192.168.1.20:55730     192.168.56.169:80      SYN_SENT
  TCP    192.168.1.20:55731     192.168.56.170:80      SYN_SENT
  TCP    192.168.1.20:55732     192.168.56.171:80      SYN_SENT
  TCP    192.168.1.20:55733     192.168.56.172:80      SYN_SENT
  TCP    192.168.1.20:55734     192.168.56.173:80      SYN_SENT
  TCP    192.168.1.20:55735     192.168.56.174:80      SYN_SENT
  TCP    192.168.1.20:55736     192.168.56.175:80      SYN_SENT
  TCP    192.168.1.20:55737     192.168.56.176:80      SYN_SENT
  TCP    192.168.1.20:55738     192.168.56.177:80      SYN_SENT
  TCP    192.168.1.20:55739     192.168.56.178:80      SYN_SENT
  TCP    192.168.1.20:55740     192.168.56.179:80      SYN_SENT
  TCP    192.168.1.20:55741     192.168.56.180:80      SYN_SENT
  TCP    192.168.1.20:55742     192.168.56.181:80      SYN_SENT
  TCP    192.168.1.20:55743     192.168.56.182:80      SYN_SENT
  TCP    192.168.1.20:55744     192.168.56.183:80      SYN_SENT
  TCP    192.168.1.20:55745     192.168.56.184:80      SYN_SENT
  TCP    192.168.1.20:55746     192.168.56.185:80      SYN_SENT
  TCP    192.168.1.20:55747     192.168.56.186:80      SYN_SENT
  TCP    192.168.1.20:55748     192.168.56.187:80      SYN_SENT
  TCP    192.168.1.20:55749     192.168.56.188:80      SYN_SENT
  TCP    192.168.1.20:55750     192.168.56.189:80      SYN_SENT
  TCP    192.168.1.20:55751     192.168.56.190:80      SYN_SENT
  TCP    192.168.1.20:55752     192.168.56.191:80      SYN_SENT
  TCP    192.168.1.20:55753     192.168.56.192:80      SYN_SENT
  TCP    192.168.1.20:55754     192.168.56.193:80      SYN_SENT
  TCP    192.168.1.20:55755     192.168.56.194:80      SYN_SENT
  TCP    192.168.1.20:55756     192.168.56.195:80      SYN_SENT
  TCP    192.168.1.20:55757     192.168.56.196:80      SYN_SENT
  TCP    192.168.1.20:55758     192.168.56.197:80      SYN_SENT
  TCP    192.168.1.20:55759     192.168.56.198:80      SYN_SENT
  TCP    192.168.1.20:55760     192.168.56.199:80      SYN_SENT
  TCP    192.168.1.20:55761     192.168.56.200:80      SYN_SENT
  TCP    192.168.1.20:55762     192.168.56.201:80      SYN_SENT
  TCP    192.168.1.20:55763     192.168.56.202:80      SYN_SENT
  TCP    192.168.1.20:55764     192.168.56.203:80      SYN_SENT
  TCP    192.168.1.20:55765     192.168.56.204:80      SYN_SENT
  TCP    192.168.1.20:55766     192.168.56.205:80      SYN_SENT
  TCP    192.168.1.20:55767     192.168.56.206:80      SYN_SENT
  TCP    192.168.1.20:55768     192.168.56.207:80      SYN_SENT
  TCP    192.168.1.20:55769     192.168.56.208:80      SYN_SENT
  TCP    192.168.1.20:55770     192.168.56.209:80      SYN_SENT
  TCP    192.168.1.20:55771     192.168.56.210:80      SYN_SENT
  TCP    192.168.1.20:55772     192.168.56.211:80      SYN_SENT
  TCP    192.168.1.20:55773     192.168.56.212:80      SYN_SENT
  TCP    192.168.1.20:55774     192.168.56.213:80      SYN_SENT
  TCP    192.168.1.20:55775     192.168.56.214:80      SYN_SENT
  TCP    192.168.1.20:55776     192.168.56.215:80      SYN_SENT
  TCP    192.168.1.20:55777     192.168.56.216:80      SYN_SENT
  TCP    192.168.1.20:55778     192.168.56.217:80      SYN_SENT
  TCP    192.168.1.20:55779     192.168.56.218:80      SYN_SENT
  TCP    192.168.1.20:55780     192.168.56.219:80      SYN_SENT
  TCP    192.168.1.20:55781     192.168.56.220:80      SYN_SENT
  TCP    192.168.1.20:55782     192.168.56.221:80      SYN_SENT
  TCP    192.168.1.20:55783     192.168.56.222:80      SYN_SENT
  TCP    192.168.1.20:55784     192.168.56.223:80      SYN_SENT
  TCP    192.168.1.20:55785     192.168.56.224:80      SYN_SENT
  TCP    192.168.1.20:55786     192.168.56.225:80      SYN_SENT
  TCP    192.168.1.20:55787     192.168.56.226:80      SYN_SENT
  TCP    192.168.1.20:55788     192.168.56.227:80      SYN_SENT
  TCP    192.168.1.20:55789     192.168.56.228:80      SYN_SENT
  TCP    192.168.1.20:55790     192.168.56.229:80      SYN_SENT
  TCP    192.168.1.20:55791     192.168.56.230:80      SYN_SENT
  TCP    192.168.1.20:55792     192.168.56.231:80      SYN_SENT
  TCP    192.168.1.20:55793     192.168.56.232:80      SYN_SENT
  TCP    192.168.1.20:55794     192.168.56.233:80      SYN_SENT
  TCP    192.168.1.20:55795     192.168.56.234:80      SYN_SENT
